Opcode	Name	Data length	Clock cycles
0x0	hlt	1	4
0x1	nop	1	3
0x2	mov_ra_rb	1	4
0x3	mov_ra_rc	1	4
0x4	mov_ra_rd	1	4
0x5	mov_rb_ra	1	4
0x6	mov_rb_rc	1	4
0x7	mov_rb_rd	1	4
0x8	mov_rc_ra	1	4
0x9	mov_rc_rb	1	4
0xa	mov_rc_rd	1	4
0xb	mov_rd_ra	1	4
0xc	mov_rd_rb	1	4
0xd	mov_rd_rc	1	4
0xe	mov_rd_ss	1	4
0xf	mov_rd_mds	1	4
0x10	mov_rd_sds	1	4
0x11	mov_rd_sp	1	4
0x12	mov_ra_rb_deref	1	5
0x13	mov_ra_rc_deref	1	5
0x14	mov_ra_rd_deref	1	5
0x15	mov_rb_ra_deref	1	5
0x16	mov_rb_rc_deref	1	5
0x17	mov_rb_rd_deref	1	5
0x18	mov_rc_ra_deref	1	5
0x19	mov_rc_rb_deref	1	5
0x1a	mov_rc_rd_deref	1	5
0x1b	mov_rd_ra_deref	1	5
0x1c	mov_rd_rb_deref	1	5
0x1d	mov_rd_rc_deref	1	5
0x1e	mov_ra_ram	2	5
0x1f	mov_rb_ram	2	5
0x20	mov_rc_ram	2	5
0x21	mov_rd_ram	2	5
0x22	mov_rom_ra	2	5
0x23	mov_rom_rb	2	5
0x24	mov_rom_rc	2	5
0x25	mov_rom_rd	2	5
0x26	mov_ram_ra	2	5
0x27	mov_ram_rb	2	5
0x28	mov_ram_rc	2	5
0x29	mov_ram_rd	2	5
0x2a	mov_ra_deref_ra	1	5
0x2b	mov_ra_deref_rb	1	5
0x2c	mov_ra_deref_rc	1	5
0x2d	mov_ra_deref_rd	1	5
0x2e	mov_rb_deref_ra	1	5
0x2f	mov_rb_deref_rb	1	5
0x30	mov_rb_deref_rc	1	5
0x31	mov_rb_deref_rd	1	5
0x32	mov_rc_deref_ra	1	5
0x33	mov_rc_deref_rb	1	5
0x34	mov_rc_deref_rc	1	5
0x35	mov_rc_deref_rd	1	5
0x36	mov_rd_deref_ra	1	5
0x37	mov_rd_deref_rb	1	5
0x38	mov_rd_deref_rc	1	5
0x39	mov_rd_deref_rd	1	5
