_BRK_	Reserved opcode (hardware interrupt). Do not use.
INT	Software interrupt. Pushes CS:PC and FLAGS, then calls the interrupt vector
MOV_CST_RA	Moves a constant to RA
MOV_CST_RB	Moves a constant to RB
MOV_CST_RC	Moves a constant to RC
MOV_CST_RD	Moves a constant to RD
MOV_CST_SP	Moves a constant to SP
MOV_CST_SS	Moves a constant to SS
MOV_CST_DS	Moves a constant to DS
MOV_CST_BP	Moves a constant to BP
MOV_SS_RD	Moves SS to RD
MOV_SP_RD	Moves SP to RD
MOV_SP_BP	Moves SP to BP
MOV_BP_SP	Moves BP to SP
MOV_DS_RD	Moves DS to RD
MOV_RA_RB	Moves RA to RB
MOV_RA_RC	Moves RA to RC
MOV_RA_RD	Moves RA to RD
MOV_RB_RA	Moves RB to RA
MOV_RB_RC	Moves RB to RC
MOV_RB_RD	Moves RB to RD
MOV_RC_RA	Moves RC to RA
MOV_RC_RB	Moves RC to RB
MOV_RC_RD	Moves RC to RD
MOV_RD_RA	Moves RD to RA
MOV_RD_RB	Moves RD to RB
MOV_RD_RC	Moves RD to RC
MOV_RD_SS	Moves RD to SS
MOV_RD_SP	Moves RD to SP
MOV_RD_DS	Moves RD to DS
MOV_IBPOFFSET_RA	Copies a from a location in the address space (stack frame offset addressing mode) to RA
MOV_IBPOFFSET_RB	Copies a from a location in the address space (stack frame offset addressing mode) to RB
MOV_IBPOFFSET_RC	Copies a from a location in the address space (stack frame offset addressing mode) to RC
MOV_IBPOFFSET_RD	Copies a from a location in the address space (stack frame offset addressing mode) to RD
MOV_RA_IBPOFFSET	Copies RA to a location in the address space (stack frame offset addressing mode)
MOV_RB_IBPOFFSET	Copies RB to a location in the address space (stack frame offset addressing mode)
MOV_RC_IBPOFFSET	Copies RC to a location in the address space (stack frame offset addressing mode)
MOV_RD_IBPOFFSET	Copies RD to a location in the address space (stack frame offset addressing mode)
MOV_CST_IBPOFFSET	Copies a constant to a location in the address space (stack frame offset addressing mode)
MOV_RA_DATAP	Copies RA to a location in the address space (data page addressing mode)
MOV_RB_DATAP	Copies RB to a location in the address space (data page addressing mode)
MOV_RC_DATAP	Copies RC to a location in the address space (data page addressing mode)
MOV_RD_DATAP	Copies RD to a location in the address space (data page addressing mode)
MOV_DATAP_RA	Copies from location in the address space (data page addressing mode) to RA
MOV_DATAP_RB	Copies from location in the address space (data page addressing mode) to RB
MOV_DATAP_RC	Copies from location in the address space (data page addressing mode) to RC
MOV_DATAP_RD	Copies from location in the address space (data page addressing mode) to RD
MOV_CST_DATAP	Copies a constant to a location in the address space (data page addressing mode)
MOV_RA_IRCRD	Copies RA to a location in the address space (full indirect addressing mode)
MOV_RB_IRCRD	Copies RB to a location in the address space (full indirect addressing mode)
MOV_RC_IRCRD	Copies RC to a location in the address space (full indirect addressing mode)
MOV_RD_IRCRD	Copies RD to a location in the address space (full indirect addressing mode)
MOV_IRCRD_RA	Copies from location in the address space (full indirect addressing mode) to RA
MOV_IRCRD_RB	Copies from location in the address space (full indirect addressing mode) to RB
MOV_IRCRD_RC	Copies from location in the address space (full indirect addressing mode) to RC
MOV_IRCRD_RD	Copies from location in the address space (full indirect addressing mode) to RD
MOV_CST_IRCRD	Copies a constant to a location in the address space (full indirect addressing mode)
MOV_RA_ABS	Copies RA to a location in the address space (absolute addressing mode)
MOV_RB_ABS	Copies RB to a location in the address space (absolute addressing mode)
MOV_RC_ABS	Copies RC to a location in the address space (absolute addressing mode)
MOV_RD_ABS	Copies RD to a location in the address space (absolute addressing mode)
MOV_ABS_RA	Copies from location in the address space (absolute addressing mode) to RA
MOV_ABS_RB	Copies from location in the address space (absolute addressing mode) to RB
MOV_ABS_RC	Copies from location in the address space (absolute addressing mode) to RC
MOV_ABS_RD	Copies from location in the address space (absolute addressing mode) to RD
MOV_CST_ABS	Copies a constant to a location in the address space (absolute addressing mode)
MOV_DATAP_DATAP	Copies a location in the address space (data page addressing mode) to another location in the address space (data page addressing mode)
MOV_IRD_RA	Copies from a location in the address space (short indirect addressing mode) to RA
MOV_IRD_RB	Copies from a location in the address space (short indirect addressing mode) to RB
MOV_IRD_RC	Copies from a location in the address space (short indirect addressing mode) to RC
MOV_IRD_RD	Copies from a location in the address space (short indirect addressing mode) to RD
MOV_RA_IRD	Copies RA to a location in the address space (short indirect addressing mode)
MOV_RB_IRD	Copies RB to a location in the address space (short indirect addressing mode)
MOV_RC_IRD	Copies RC to a location in the address space (short indirect addressing mode)
MOV_RD_IRD	Copies RD to a location in the address space (short indirect addressing mode)
MOV_CST_IRD	Copies a constant to a location in the address space (short indirect addressing mode)
PUSH_RA	Pushes RA onto the stack
PUSH_RB	Pushes RB onto the stack
PUSH_RC	Pushes RC onto the stack
PUSH_RD	Pushes RD onto the stack
PUSH_DATAP	Pushes a location in the address space (data page addressing mode) onto the stack
PUSH_IRD	Pushes a location in the address space (short indirect addressing mode) onto the stack
PUSH_IRCRD	Pushes a location in the address space (full indirect addressing mode) onto the stack
PUSH_ABS	Pushes a location in the address space (absolute addressing mode) onto the stack
PUSH_CST	Pushes a constant onto the stack
PUSH_BP	Pushes the value of BP onto the stack
POP_RA	Pops from the stack into RA
POP_RB	Pops from the stack into RB
POP_RC	Pops from the stack into RC
POP_RD	Pops from the stack into RD
POP_DATAP	Pops from the stack into a location in the address space (data page addressing mode)
POP_IRD	Pops from the stack into a location in the address space (short indirect addressing mode)
POP_IRCRD	Pops from the stack into a location in the address space (full indirect addressing mode)
POP_ABS	Pops from the stack into a location in the address space (absolute addressing mode)
POP_BP	Pops from the stack into BP
ADD_RA_RA	Adds RA to RA, stores the result back in RA, then updates the FLAGS accordingly
ADD_RA_RB	Adds RB to RA, stores the result back in RA, then updates the FLAGS accordingly
ADD_RA_RC	Adds RC to RA, stores the result back in RA, then updates the FLAGS accordingly
ADD_RA_RD	Adds RD to RA, stores the result back in RA, then updates the FLAGS accordingly
ADD_RB_RA	Adds RA to RB, stores the result back in RB, then updates the FLAGS accordingly
ADD_RB_RB	Adds RB to RB, stores the result back in RB, then updates the FLAGS accordingly
ADD_RB_RC	Adds RC to RB, stores the result back in RB, then updates the FLAGS accordingly
ADD_RB_RD	Adds RD to RB, stores the result back in RB, then updates the FLAGS accordingly
ADD_RC_RA	Adds RA to RC, stores the result back in RC, then updates the FLAGS accordingly
ADD_RC_RB	Adds RB to RC, stores the result back in RC, then updates the FLAGS accordingly
ADD_RC_RC	Adds RC to RC, stores the result back in RC, then updates the FLAGS accordingly
ADD_RC_RD	Adds RD to RC, stores the result back in RC, then updates the FLAGS accordingly
ADD_RD_RA	Adds RA to RD, stores the result back in RD, then updates the FLAGS accordingly
ADD_RD_RB	Adds RB to RD, stores the result back in RD, then updates the FLAGS accordingly
ADD_RD_RC	Adds RC to RD, stores the result back in RD, then updates the FLAGS accordingly
