Opcode	Name	Data length	Clock cycles	Description	Flags modified
0x0	nop	1	1	No operation	-
0x1	hlt	1	1	Halts the CPU	-
0x2	$brk$	2	7	Reserved opcode (hardware interrupt). Do not use.	I
0x3	int	1	7	Software interrupt. Pushes CS:PC and FLAGS, then calls the interrupt vector	I
0x4	mov_cst_ra	2	2	Moves a constant to RA	-
0x5	mov_cst_rb	2	2	Moves a constant to RB	-
0x6	mov_cst_rc	2	2	Moves a constant to RC	-
0x7	mov_cst_rd	2	2	Moves a constant to RD	-
0x8	mov_cst_sp	2	2	Moves a constant to SP	-
0x9	mov_cst_ss	2	2	Moves a constant to SS	-
0xa	mov_cst_ds	2	2	Moves a constant to DS	-
0xb	mov_cst_bp	2	2	Moves a constant to BP	-
0xc	mov_ss_rd	1	1	Moves SS to RD	-
0xd	mov_sp_rd	1	1	Moves SP to RD	-
0xe	mov_sp_bp	1	1	Moves SP to BP	-
0xf	mov_bp_sp	1	1	Moves BP to SP	-
0x10	mov_ds_rd	1	1	Moves DS to RD	-
0x11	mov_ra_rb	1	1	Moves RA to RB	-
0x12	mov_ra_rc	1	1	Moves RA to RC	-
0x13	mov_ra_rd	1	1	Moves RA to RD	-
0x14	mov_rb_ra	1	1	Moves RB to RA	-
0x15	mov_rb_rc	1	1	Moves RB to RC	-
0x16	mov_rb_rd	1	1	Moves RB to RD	-
0x17	mov_rc_ra	1	1	Moves RC to RA	-
0x18	mov_rc_rb	1	1	Moves RC to RB	-
0x19	mov_rc_rd	1	1	Moves RC to RD	-
0x1a	mov_rd_ra	1	1	Moves RD to RA	-
0x1b	mov_rd_rb	1	1	Moves RD to RB	-
0x1c	mov_rd_rc	1	1	Moves RD to RC	-
0x1d	mov_rd_ss	1	1	Moves RD to SS	-
0x1e	mov_rd_sp	1	1	Moves RD to SP	-
0x1f	mov_rd_ds	1	1	Moves RD to DS	-
0x20	mov_ibpoffset_ra	2	4	Copies a from a location in the address space (stack frame offset addressing mode) to RA	-
0x21	mov_ibpoffset_rb	2	4	Copies a from a location in the address space (stack frame offset addressing mode) to RB	-
0x22	mov_ibpoffset_rc	2	4	Copies a from a location in the address space (stack frame offset addressing mode) to RC	-
0x23	mov_ibpoffset_rd	2	4	Copies a from a location in the address space (stack frame offset addressing mode) to RD	-
0x24	mov_ra_ibpoffset	2	4	Copies RA to a location in the address space (stack frame offset addressing mode)	-
0x25	mov_rb_ibpoffset	2	4	Copies RB to a location in the address space (stack frame offset addressing mode)	-
0x26	mov_rc_ibpoffset	2	4	Copies RC to a location in the address space (stack frame offset addressing mode)	-
0x27	mov_rd_ibpoffset	2	4	Copies RD to a location in the address space (stack frame offset addressing mode)	-
0x28	mov_cst_ibpoffset	3	5	Copies a constant to a location in the address space (stack frame offset addressing mode)	-
0x29	mov_ra_datap	2	2	Copies RA to a location in the address space (data page addressing mode)	-
0x2a	mov_rb_datap	2	2	Copies RB to a location in the address space (data page addressing mode)	-
0x2b	mov_rc_datap	2	2	Copies RC to a location in the address space (data page addressing mode)	-
